x,y,z
8,31,9
8,31,9
8,31,9
-11,14,-1
-11,14,-1
-11,14,-1
-11,14,-1
-27,10,-4
-27,10,-4
-27,10,-4
-27,10,-4
-34,9,-3
-34,9,-3
-34,9,-3
-35,9,4
-35,4,4
-35,4,4
-35,4,4
-29,3,9
-29,3,9
-29,3,9
-29,3,9
-19,10,11
-19,10,11
-19,10,11
-19,10,11
-5,17,12
-5,17,12
-5,17,12
-5,17,12
9,22,15
9,22,15
9,22,15
9,22,15
25,27,19
25,27,19
25,27,19
25,27,18
41,35,18
41,35,18
41,35,18
54,40,16
54,40,16
54,40,16
54,40,16
57,35,16
0,-1,3
0,-1,5
0,-1,5
0,-1,5
0,-1,5
0,-1,9
0,-1,9
0,-1,9
0,-1,9
0,-1,6
0,-1,6
0,-1,6
0,-1,6
0,-1,2
0,-1,2
0,-1,2
0,-1,2
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,1
0,-1,1
0,-1,1
0,-1,1
0,-1,4
0,-1,4
0,-1,4
0,-1,4
0,-1,4
0,0,7
0,0,7
0,0,7
0,0,7
0,-1,7
0,-1,7
0,-1,7
0,-1,7
0,-1,7
0,-1,7
0,-1,7
0,-1,7
0,-1,8
0,-1,8
0,-1,8
0,-1,8
0,-2,10
0,-2,10
0,-2,10
0,-2,10
0,-1,10
0,-1,10
0,-1,10
0,-1,10
0,-2,5
0,-2,5
0,-2,5
0,-2,5
0,-4,1
0,-4,1
0,-4,1
0,-4,1
0,-5,2
0,-5,2
0,-5,2
0,-5,2
0,-4,2
0,-4,2
0,-4,2
0,-4,2
-1,-3,-5
-1,-3,-5
-1,-3,-5
-1,-3,-5
-2,-4,-10
-2,-4,-10
-2,-4,-10
-2,-4,-10
-1,-4,-10
-1,-4,-10
-1,-4,-10
-1,-4,-9
-1,-4,-9
-1,-4,-9
-1,-4,-9
-1,-5,-6
-1,-5,-6
-1,-5,-6
-1,-5,-6
-2,-8,-7
-2,-8,-7
-2,-8,-7
-2,-8,-7
-2,-11,-11
-2,-11,-11
-2,-11,-11
-2,-13,-19
-2,-13,-19
-2,-13,-19
-2,-13,-19
-3,-17,-25
-3,-17,-25
-3,-17,-25
-3,-20,-24
-3,-20,-24
-3,-20,-24
-3,-20,-24
-3,-22,-19
-3,-22,-19
-3,-22,-19
-2,-33,-11
-2,-33,-11
-2,-33,-11
-2,-33,-11
-1,-58,-8
-1,-58,-8
-1,-58,-8
-1,-58,-8
-1,-88,-11
-1,-88,-11
-1,-88,-11
-1,-123,-9
-1,-123,-9
-1,-123,-9
-1,-123,-9
-2,-158,-12
-2,-158,-12
-2,-158,-12
-2,-177,-10
-2,-177,-10
-2,-177,-10
-2,-177,-10
0,-183,0
0,-183,0
0,-183,0
0,-183,0
-1,-197,-4
-1,-197,-4
-1,-197,-4
-2,-205,-4
-2,-205,-4
-2,-205,-4
-2,-205,-4
-2,-193,-7
-2,-193,-7
-2,-193,-7
-4,-159,-10
-4,-159,-10
-4,-159,-10
-4,-159,-10
0,-124,0
0,-124,0
0,-124,0
4,-124,9
3,-98,9
3,-98,9
3,-98,9
3,-79,8
3,-79,8
3,-79,8
3,-79,8
1,-48,4
1,-48,4
1,-48,4
1,-48,4
-3,0,-3
-3,0,-3
-3,0,-3
-3,0,-3
-7,61,-12
-7,61,-12
-7,61,-12
-7,61,-12
-12,136,-21
-12,136,-21
-12,136,-21
-11,194,-19
-11,194,-19
-11,194,-19
-11,194,-19
-8,190,-15
-8,190,-15
-8,190,-15
-9,175,-21
-9,175,-21
-9,175,-21
-9,175,-21
-12,179,-30
-12,179,-30
-12,179,-30
-11,178,-32
-11,178,-32
-11,178,-32
-11,178,-32
-8,155,-22
-8,155,-22
-8,155,-22
-2,81,0
-2,81,0
-2,81,0
-2,81,0
-2,31,-8
-2,31,-8
-2,31,-8
-2,31,-8
-8,19,-37
-8,19,-37
-8,19,-37
-8,19,-37
-13,5,-56
-13,5,-56
-13,5,-56
-13,5,-49
-12,-5,-49
-12,-5,-49
-12,-5,-49
-10,-9,-48
-10,-9,-48
-10,-9,-48
-10,-9,-48
-12,-3,-52
-12,-3,-52
-12,-3,-52
-12,4,-51
-12,4,-51
-12,4,-51
-12,4,-51
-10,10,-42
-10,10,-42
-10,10,-42
-9,10,-40
-9,14,-40
-9,14,-40
-9,14,-40
-7,13,-31
-7,13,-31
-7,13,-31
-7,13,-31
-1,1,-5
-1,1,-5
-1,1,-5
-1,1,-5
4,-23,16
4,-23,16
4,-23,16
4,-23,16
6,-50,25
6,-50,25
6,-50,25
1,-57,9
1,-57,9
1,-57,9
1,-57,9
1,-54,10
1,-54,10
1,-54,10
1,-54,10
1,-40,10
1,-40,10
1,-40,10
1,-40,10
0,-22,2
0,-22,2
0,-22,2
0,-22,2
2,-7,10
2,-7,10
2,-7,10
2,-7,10
4,-3,21
4,-3,21
4,-3,21
4,-3,21
4,-12,21
4,-12,21
4,-12,21
3,-28,15
3,-28,15
3,-28,15
3,-28,15
2,-43,12
2,-43,12
2,-43,12
2,-43,12
2,-46,12
2,-46,12
2,-46,12
2,-46,12
3,-39,15
3,-39,15
3,-39,15
3,-39,15
3,-34,14
3,-34,14
3,-34,14
3,-32,15
3,-32,15
3,-32,15
3,-32,15
2,-34,21
2,-34,21
2,-34,21
2,-34,21
0,-46,31
0,-46,31
0,-46,31
0,-46,31
0,-71,41
0,-71,41
0,-71,41
0,-71,41
-7,-103,40
-7,-103,40
-7,-103,40
-26,-119,45
-26,-119,45
-26,-119,45
-26,-119,45
-45,-128,46
-45,-128,46
-45,-128,46
-60,-124,43
-60,-124,43
-60,-124,43
-60,-124,43
-63,-107,47
-63,-107,47
-63,-107,47
-52,-98,48
-52,-98,48
-52,-98,48
-52,-98,48
-34,-85,50
-34,-85,50
-34,-85,50
-11,-67,53
-11,-67,53
-11,-67,53
-11,-67,53
12,-53,58
12,-53,58
12,-53,58
30,-39,64
30,-39,64
30,-39,64
30,-39,64
40,-29,68
40,-29,68
40,-29,68
40,-29,68
40,-43,71
40,-43,71
40,-43,71
30,-79,75
30,-79,75
30,-79,75
30,-79,75
16,-121,85
16,-121,85
16,-121,85
16,-121,85
6,-152,102
6,-152,102
6,-152,102
-3,-136,114
-3,-136,114
-3,-136,114
-3,-136,114
-12,-115,114
-12,-115,114
-12,-115,114
-17,-106,108
-17,-106,108
-17,-106,108
-17,-106,92
-24,-89,92
-24,-89,92
-24,-89,92
-32,-71,70
-32,-71,70
-32,-71,70
-32,-71,70
-32,-63,54
-32,-63,54
-32,-63,54
-19,-71,49
-19,-71,49
-19,-71,49
-19,-71,49
0,-68,43
0,-68,43
0,-68,43
0,-68,27
12,-43,27
12,-43,27
12,-43,27
15,-5,9
15,-5,9
15,-5,9
15,-5,9
7,15,-2
7,15,-2
7,15,-2
7,15,-2
-10,15,-5
-10,15,-5
-10,15,-5
-10,15,-5
-28,11,-2
-28,11,-2
-28,11,-2
-42,8,3
-42,8,3
-42,8,3
-42,8,3
-49,3,8
-49,3,8
-49,3,8
-49,3,8
-51,-1,11
-51,-1,11
-51,-1,11
-51,-1,11
-47,-8,11
-47,-8,11
-47,-8,11
-47,-8,11
-37,-47,13
-37,-47,13
-37,-47,13
-34,-31,15
-34,-31,15
-34,-31,15
-34,-31,15
-35,39,21
-35,39,21
-35,39,21
-49,94,29
-49,94,29
-49,94,29
-49,94,29
-80,128,43
-80,128,43
-80,128,43
-80,128,43
-111,169,59
-111,169,59
-111,169,59
-148,220,61
-148,220,61
-148,220,61
-148,220,61
-188,254,52
-188,254,52
-188,254,52
-219,238,42
-219,238,42
-219,238,42
-219,238,42
-240,226,25
-240,226,25
-240,226,25
-250,215,3
-250,215,3
-250,215,3
-250,215,3
-253,204,-11
-253,204,-11
-253,204,-11
-251,178,-20
-251,178,-20
-251,178,-20
-257,117,-21
-257,117,-21
-257,117,-21
-257,117,-21
-264,98,-11
-264,98,-11
-264,98,-11
-279,87,7
-279,87,7
-279,87,7
-279,87,7
-297,61,23
-297,61,23
-297,61,23
-311,32,32
-311,32,32
-311,32,32
-311,32,32
-316,19,33
-316,19,33
-316,19,33
-316,19,33
-313,26,30
-313,26,30
-313,26,30
-301,18,27
-301,18,27
-301,18,27
-301,18,27
-286,-11,32
-286,-11,32
-286,-11,32
-256,-5,43
-256,-5,43
-256,-5,43
-256,-5,43
-220,-5,49
-220,-5,49
-220,-5,49
-189,10,47
-189,10,47
-189,10,47
-189,10,47
-167,38,38
-167,38,38
-167,38,38
-149,60,29
-149,60,29
-149,60,29
-149,60,29
-133,81,22
-133,81,22
-133,81,22
-133,81,22
-114,97,17
-114,97,17
-114,97,17
-88,116,14
-88,116,14
-88,116,14
-88,116,14
-56,131,13
-56,131,13
-56,131,13
-25,128,17
-25,128,17
-25,128,17
-25,128,17
0,117,26
0,117,26
0,117,26
0,117,26
22,111,39
22,111,39
22,111,39
40,104,45
40,104,45
40,104,45
40,104,45
55,92,46
55,92,46
55,92,46
55,92,46
74,85,44
74,85,44
74,85,44
74,85,44
94,87,40
94,87,40
94,87,40
113,83,34
113,83,34
113,83,34
113,83,34
127,71,26
127,71,26
127,71,26
127,71,26
136,45,14
136,45,14
136,45,14
140,8,6
140,8,6
140,8,6
140,8,6
146,-30,1
146,-30,1
146,-30,1
146,-30,1
154,-55,-1
154,-55,-1
154,-55,-1
154,-55,-1
164,-55,-3
164,-55,-3
164,-55,-3
175,-34,-4
175,-34,-4
175,-34,-4
175,-34,-4
187,-11,-8
187,-11,-8
187,-11,-8
199,6,-12
199,6,-12
199,6,-12
199,6,-12
206,20,-14
206,20,-14
206,20,-14
206,20,-14
209,31,-12
209,31,-12
209,31,-12
210,41,-10
210,41,-10
210,41,-10
210,41,-10
211,43,-8
211,43,-8
211,43,-8
214,36,-8
214,36,-8
214,36,-8
214,36,-8
218,28,-6
218,28,-6
218,28,-6
218,28,-6
222,31,-3
222,31,-3
222,31,-3
225,52,0
225,52,0
225,52,0
225,52,0
226,79,2
226,79,2
226,79,2
226,79,2
227,100,3
227,100,3
227,100,3
227,100,3
228,108,3
228,108,3
228,108,3
229,106,5
229,106,5
229,106,5
229,106,5
229,106,8
229,106,8
229,106,8
229,106,8
229,110,11
229,110,11
229,110,11
227,110,14
227,110,14
227,110,14
227,110,14
218,114,19
218,114,19
218,114,19
199,124,25
199,124,25
199,124,25
199,124,25
172,126,27
172,126,27
172,126,27
172,126,27
142,103,27
142,103,27
142,103,27
119,29,34
119,29,34
119,29,34
119,29,34
89,-22,31
89,-22,31
89,-22,31
52,-27,27
52,-31,27
52,-31,27
52,-31,27
13,-24,26
13,-24,26
13,-24,26
13,-24,26
-24,-31,17
-24,-31,17
-24,-31,17
-63,-52,7
-63,-52,7
-63,-52,7
-63,-52,7
-94,-78,0
-94,-78,0
-94,-78,0
-94,-78,0
-113,-96,-3
-113,-96,-3
-113,-96,-3
-135,-80,-11
-135,-80,-11
-135,-80,-11
-135,-80,-11
-167,-59,-17
-167,-59,-17
-167,-59,-17
-206,-53,-19
-206,-53,-19
-206,-53,-19
-248,-56,-25
-248,-56,-25
-248,-56,-25
-248,-56,-25
-288,-72,-36
-288,-72,-36
-288,-72,-36
-318,-101,-48
-318,-101,-48
-318,-101,-48
-340,-112,-55
-340,-112,-55
-340,-112,-55
-340,-112,-55
-354,-110,-60
-354,-110,-60
-354,-110,-60
-361,-115,-59
-361,-115,-59
-361,-115,-59
-357,-131,-46
-357,-131,-46
-357,-131,-46
-357,-131,-23
-346,-145,-23
-346,-145,-23
-346,-145,-23
-335,-144,-5
-335,-144,-5
-335,-144,-5
-321,-133,9
-321,-133,9
-321,-133,9
-321,-133,9
-307,-116,23
-307,-116,23
-307,-116,23
-294,-88,33
-294,-88,33
-294,-88,33
-278,-49,39
-278,-49,39
-278,-49,39
-278,-49,39
-260,-16,46
-260,-16,46
-260,-16,46
-240,8,52
-240,8,52
-240,8,52
-240,8,52
-223,27,56
-223,27,56
-223,27,56
-223,27,56
-207,43,58
-207,43,58
-207,43,58
-186,66,59
-186,66,59
-186,66,59
-186,66,59
-157,83,60
-157,83,60
-157,83,60
-128,84,69
-128,84,69
-128,84,69
-128,84,69
-99,81,72
-99,81,72
-99,81,72
-99,81,69
-68,67,69
-68,67,69
-68,67,69
-37,61,61
-37,61,61
-37,61,61
-37,61,61
-7,54,51
-7,54,51
-7,54,51
-7,54,51
21,53,41
21,53,41
21,53,41
51,54,34
51,54,34
51,54,34
51,54,34
79,56,29
79,56,29
79,56,29
79,56,29
104,65,26
104,65,26
104,65,26
104,65,26
126,76,25
126,76,25
126,76,25
145,74,25
145,74,25
145,74,25
145,74,25
158,49,25
158,49,25
158,49,25
158,49,25
166,-8,19
166,-8,19
166,-8,19
170,-80,4
170,-80,4
170,-80,4
170,-80,4
175,-131,-15
175,-131,-15
175,-131,-15
175,-131,-29
194,-155,-29
194,-155,-29
194,-155,-29
221,-150,-39
221,-150,-39
221,-150,-39
251,-127,-48
251,-127,-48
251,-127,-48
251,-127,-48
279,-106,-53
279,-106,-53
279,-106,-53
308,-97,-57
308,-97,-57
308,-97,-57
336,-110,-57
336,-110,-57
336,-110,-57
336,-110,-57
360,-137,-58
360,-137,-58
360,-137,-58
377,-168,-59
377,-168,-59
377,-168,-59
377,-168,-59
383,-197,-60
383,-197,-60
383,-197,-60
373,-148,-60
373,-148,-60
373,-148,-60
348,-40,-51
348,-40,-51
348,-40,-51
348,-40,-51
322,3,-29
322,3,-29
322,3,-29
274,11,-6
274,11,-6
274,11,-6
274,11,-6
217,-18,12
217,-18,12
217,-18,12
217,-18,12
153,-61,19
153,-61,19
153,-61,19
84,-93,15
84,-93,15
84,-93,15
84,-93,15
44,-89,12
44,-89,12
44,-89,12
44,-89,7
20,-59,7
20,-59,7
20,-59,7
0,-34,4
0,-34,4
0,-34,4
0,-34,4
-17,-16,5
-17,-16,5
-17,-16,5
-17,-16,5
-36,-11,6
-36,-11,6
-36,-11,6
-36,-11,6
-53,-9,6
-53,-9,6
-53,-9,6
-69,-6,7
-69,-6,7
-69,-6,7
-69,-6,7
-88,-7,6
-88,-7,6
-88,-7,6
-88,-7,6
-106,-20,3
-106,-20,3
-106,-20,3
-106,-20,3
-127,-43,-1
-127,-43,-1
-127,-43,-1
-155,-59,-8
-155,-59,-8
-155,-59,-8
-155,-59,-8
-190,-68,-10
-190,-68,-10
-190,-68,-10
-225,-69,-7
-225,-69,-7
-225,-69,-7
-261,-73,-2
-261,-73,-2
-261,-73,-2
-261,-73,-2
-295,-83,5
-295,-83,5
-295,-83,5
-321,-96,15
-321,-96,15
-321,-96,15
-321,-96,15
-343,-110,27
-343,-110,27
-343,-110,27
-352,-109,41
-352,-109,41
-352,-109,41
-352,-109,41
-348,-100,52
-348,-100,52
-348,-100,52
-335,-74,61
-335,-74,61
-335,-74,61
-318,-40,67
-318,-40,67
-318,-40,67
-318,-40,67
-298,-10,71
-298,-10,71
-298,-10,71
-275,11,76
-275,11,76
-275,11,76
-275,11,76
-259,27,77
-259,27,77
-259,27,77
-253,47,73
-253,47,73
-253,47,73
-253,47,73
-252,64,71
-252,64,71
-252,64,71
-252,64,71
-252,73,71
-252,73,71
-252,73,71
-251,71,69
-251,71,69
-251,71,69
-251,71,69
-243,62,66
-243,62,66
-243,62,66
-228,45,61
-228,45,61
-228,45,61
-228,45,61
-208,20,51
-208,20,51
-208,20,51
-181,-6,40
-181,-6,40
-181,-6,40
-181,-6,40
-149,-34,29
-149,-34,29
-149,-34,29
-149,-34,19
-122,-46,19
-122,-46,19
-122,-46,19
-96,-31,14
-96,-31,14
-96,-31,14
-96,-31,10
-68,-9,10
-68,-9,10
-68,-9,10
-38,4,5
-38,4,5
-38,4,5
-38,4,5
-2,13,0
-2,13,0
-2,13,0
-2,13,0
35,16,-7
35,16,-7
35,16,-7
35,16,-7
72,12,-16
72,12,-16
72,12,-16
108,12,-24
107,8,-24
107,8,-24
107,8,-24
140,7,-28
140,7,-28
140,7,-28
140,7,-28
170,17,-31
170,17,-31
170,17,-31
202,32,-28
202,32,-28
202,32,-28
202,32,-28
232,49,-25
232,49,-25
232,49,-25
232,49,-25
262,66,-22
262,66,-22
262,66,-22
287,80,-11
287,80,-11
287,80,-11
287,80,-11
309,91,-6
309,91,-6
309,91,-6
330,94,-1
330,94,-1
330,94,-1
330,94,-1
352,87,1
352,87,1
352,87,1
352,87,1
378,78,3
378,78,3
378,78,3
378,78,3
407,67,3
407,67,3
407,67,3
439,38,-1
439,38,-1
439,38,-1
439,38,-1
462,0,-11
462,0,-11
462,0,-11
462,0,-11
469,-15,-27
469,-15,-27
469,-15,-27
463,-20,-45
463,-20,-45
463,-20,-45
463,-20,-45
448,-26,-57
448,-26,-57
448,-26,-57
429,-39,-61
429,-39,-61
429,-39,-61
429,-39,-61
401,-56,-61
401,-56,-61
401,-56,-61
372,-74,-56
372,-74,-56
372,-74,-56
372,-74,-56
331,-84,-54
331,-84,-54
331,-84,-54
294,-90,-45
294,-90,-45
294,-90,-45
294,-90,-41
244,-86,-41
244,-86,-41
244,-86,-41
180,-69,-41
180,-69,-41
180,-69,-41
118,-54,-35
118,-54,-35
118,-54,-35
118,-54,-35
60,-38,-24
60,-38,-24
60,-38,-24
7,-13,-10
7,-13,-10
7,-13,-10
7,-13,-10
-34,8,5
-34,8,5
-34,8,5
-34,8,5
-57,24,18
-57,24,18
-57,24,18
-57,24,18
-81,42,21
-81,42,21
-81,42,21
-108,53,19
-108,53,19
-108,53,19
-108,53,19
-137,51,18
-137,51,18
-137,51,18
-137,51,18
-170,40,21
-170,40,21
-170,40,21
-211,25,25
-211,25,25
-211,25,25
-211,25,25
-259,18,33
-259,18,33
-259,18,33
-306,16,43
-306,16,43
-306,16,43
-306,16,43
-350,2,53
-350,2,53
-350,2,53
-386,-31,57
-386,-31,57
-386,-31,57
-386,-31,57
-409,-59,56
-409,-59,56
-409,-59,56
-419,-69,52
-419,-69,52
-419,-69,52
-419,-69,52
-417,-73,48
-417,-73,48
-417,-73,48
-403,-69,46
-403,-69,46
-403,-69,46
-403,-69,46
-384,-50,47
-384,-50,47
-384,-50,47
-364,-28,47
-364,-28,47
-364,-28,47
-364,-28,47
-346,-4,48
-346,-4,48
-346,-4,48
-331,14,49
-331,14,49
-331,14,49
-331,14,49
-318,26,51
-318,26,51
-318,26,51
-301,25,52
-301,25,52
-301,25,52
-301,25,52
-283,16,50
-283,16,50
-283,16,50
-283,16,50
-261,11,45
-261,11,45
-261,11,45
-234,10,38
-234,10,38
-234,10,38
-234,10,38
-202,7,29
-202,7,29
-202,7,29
-162,-3,22
-162,-3,22
-162,-3,22
-162,-3,22
-121,-15,10
-121,-15,10
-121,-15,10
-84,-18,0
-84,-18,0
-84,-18,0
-84,-18,0
-46,-14,-6
-46,-14,-6
-46,-14,-6
-46,-14,-6
-5,-7,-7
-5,-7,-7
-5,-7,-7
32,0,-10
32,0,-10
32,0,-10
32,0,-10
68,11,-11
68,11,-11
68,11,-11
68,11,-11
99,23,-13
99,23,-13
99,23,-13
99,23,-13
124,33,-15
124,33,-15
124,33,-15
144,35,-19
144,35,-19
144,35,-19
144,35,-19
160,33,-21
160,33,-21
160,33,-21
174,29,-22
174,29,-22
174,29,-22
174,29,-22
187,23,-20
187,23,-20
187,23,-20
202,19,-16
202,19,-16
202,19,-16
202,19,-16
222,21,-10
222,21,-10
222,21,-10
222,21,-10
245,27,-3
245,27,-3
245,27,-3
271,48,1
271,48,1
271,48,1
271,48,1
300,72,2
300,72,2
300,72,2
300,72,2
332,95,3
332,95,3
332,95,3
332,95,3
368,105,6
368,105,6
368,105,6
403,77,5
403,77,5
403,77,5
403,77,5
424,66,3
424,66,3
424,66,3
424,66,3
436,63,1
436,63,1
436,63,1
436,63,1
443,47,-2
443,47,-2
443,47,-2
444,17,-4
444,17,-4
444,17,-4
444,17,-4
439,-14,-5
439,-14,-5
439,-14,-5
439,-14,-5
416,-35,-9
416,-35,-9
416,-35,-9
387,-46,-11
387,-46,-11
387,-46,-11
387,-46,-11
357,-46,-12
357,-46,-12
357,-46,-12
313,-43,-11
313,-43,-11
313,-43,-11
313,-43,-11
252,-35,-6
252,-35,-6
252,-35,-6
183,-22,1
183,-22,1
183,-22,1
183,-22,1
116,-8,8
116,-8,8
116,-8,8
116,-8,8
58,19,14
58,19,14
58,19,14
9,56,16
9,56,16
9,56,16
9,56,16
-30,86,17
-30,86,17
-30,86,17
-30,86,17
-63,90,17
-63,90,17
-63,90,17
-63,90,17
-94,78,16
-94,78,16
-94,78,16
-120,61,13
-120,61,13
-120,61,13
-120,61,13
-145,38,9
-145,38,9
-145,38,9
-145,38,9
-170,15,4
-170,15,4
-170,15,4
-201,-2,3
-201,-2,3
-201,-2,3
-201,-2,3
-242,-25,1
-242,-25,1
-242,-25,1
-242,-25,2
-291,-58,2
-291,-58,2
-291,-58,2
-346,-99,5
-346,-99,5
-346,-99,5
-346,-99,5
-405,-135,12
-405,-135,12
-405,-135,12
-457,-164,22
-457,-164,22
-457,-164,22
-493,-184,31
-493,-184,31
-493,-184,31
-493,-184,31
-516,-184,43
-516,-184,43
-516,-184,43
-524,-159,56
-524,-159,56
-524,-159,56
-524,-159,68
-519,-126,68
-519,-126,68
-519,-126,68
-512,-100,77
-512,-100,77
-512,-100,77
-496,-55,85
-496,-55,85
-496,-55,85
-496,-55,85
-472,3,86
-472,3,86
-472,3,86
-447,28,80
-447,28,80
-447,28,80
-447,28,80
-409,20,68
-409,20,68
-409,20,68
-365,13,62
-365,13,62
-365,13,62
-365,13,62
-317,24,53
-317,24,53
-317,24,53
-317,24,53
-270,35,45
-270,35,45
-270,35,45
-229,37,41
-229,37,41
-229,37,41
-229,37,41
-192,36,42
-192,36,42
-192,36,42
-154,30,41
-154,30,41
-154,30,41
-154,30,41
-115,17,39
-115,17,39
-115,17,39
-79,4,35
-79,4,35
-79,4,35
-79,4,35
-43,-4,27
-43,-4,27
-43,-4,27
-43,-4,27
-5,-8,14
-5,-8,14
-5,-8,14
-5,-8,14
34,-7,0
34,-7,0
34,-7,0
34,-7,0
72,-5,-9
72,-5,-9
72,-5,-9
108,-3,-15
108,-3,-15
108,-3,-15
108,-3,-15
140,-2,-18
140,-2,-18
140,-2,-18
140,-2,-18
168,1,-13
168,1,-13
168,1,-13
191,5,-3
191,5,-3
191,5,-3
191,5,-3
213,6,6
213,6,6
213,6,6
213,6,6
234,5,20
234,5,20
234,5,20
234,5,20
253,11,37
253,11,37
253,11,37
279,38,25
279,38,25
279,38,25
279,38,25
303,30,6
303,30,6
303,30,6
303,30,6
328,19,-15
328,19,-15
328,19,-15
355,19,-33
358,32,-33
358,32,-33
358,32,-33
385,60,-37
385,60,-37
385,60,-37
385,60,-37
404,92,-24
404,92,-24
404,92,-24
425,108,-9
425,108,-9
425,108,-9
425,108,-9
440,89,5
440,89,5
440,89,5
440,89,14
447,63,14
447,63,14
447,63,14
451,45,12
451,45,12
451,45,12
451,45,12
458,26,12
458,26,12
458,26,12
458,26,12
448,8,1
448,8,1
448,8,1
425,-3,-5
425,-3,-5
425,-3,-5
425,-3,-5
389,-13,-9
389,-13,-9
389,-13,-9
389,-13,-9
341,-22,-10
341,-22,-10
341,-22,-10
290,-22,-12
290,-22,-12
290,-22,-12
290,-22,-12
236,-14,-14
236,-14,-14
236,-14,-14
175,-2,-10
175,-2,-10
175,-2,-10
175,-2,-10
110,8,2
110,8,2
110,8,2
41,30,8
41,27,8
41,27,8
41,27,8
-29,50,7
-29,50,7
-29,50,7
