x,y,z
-29,-16,-9
-29,-16,-9
-29,-16,-8
-29,-16,-8
-29,-16,-8
-27,-16,-8
-27,-16,-8
-27,-16,-8
-27,-16,-8
-24,-17,-7
-24,-17,-7
-24,-17,-7
-19,-18,-6
-19,-18,-6
-19,-18,-6
-19,-18,-6
-15,-17,-5
-15,-17,-5
-15,-17,-5
-12,-17,-4
-12,-16,-4
-12,-16,-4
-12,-16,-4
-10,-14,-4
-10,-14,-4
-10,-14,-4
-10,-14,-4
-9,-11,-3
-9,-11,-3
-9,-11,-3
-8,-9,-2
-8,-9,-2
-8,-9,-2
-8,-9,-2
-7,-8,-2
-7,-8,-2
-7,-8,-2
-7,-8,-2
-6,-8,-2
-6,-8,-2
-6,-8,-2
-6,-8,-2
-6,-8,-1
,-1,5
-1,-1,5
-1,-1,5
-1,-1,5
-1,-1,6
-1,-1,6
-1,-1,6
-1,-1,6
0,-2,8
0,-2,8
0,-2,8
0,-2,8
0,-2,9
0,-2,9
0,-2,9
0,-2,9
-1,-2,10
-1,-2,10
-1,-2,10
-1,-2,10
-1,-1,11
-1,-1,11
-1,-1,11
-1,-1,11
-1,-2,13
-1,-2,13
-1,-2,13
-1,-2,14
-1,-1,14
-1,-1,14
-1,-1,14
-1,-1,15
-1,-1,15
-1,-1,15
-1,-1,15
-1,-1,16
-1,-1,16
-1,-1,16
-1,-1,16
0,-1,16
0,-1,16
0,-1,16
0,-1,16
-2,-2,17
-2,-2,17
-2,-2,17
-2,-2,17
-3,-1,18
-3,-1,18
-3,-1,18
-5,-2,18
-5,-2,18
-5,-2,18
-5,-2,18
-5,-2,19
-5,-2,19
-5,-2,19
-5,-2,19
-6,-3,19
-6,-3,19
-6,-3,19
-6,-3,19
-7,-3,20
-7,-3,20
-7,-3,20
-7,-3,20
-8,-2,21
-8,-2,21
-8,-2,21
-8,-2,22
-8,-2,22
-8,-2,22
-8,-2,22
-7,-2,23
-7,-2,23
-7,-2,23
-7,-2,23
-6,-2,23
-6,-2,23
-6,-2,23
-6,-2,23
-5,-3,24
-5,-3,24
-5,-3,24
-5,-3,24
-3,-4,24
-3,-4,24
-3,-4,24
-1,-5,24
-1,-5,24
-1,-5,24
-1,-5,24
0,-6,25
0,-6,25
0,-6,25
0,-6,25
-1,-7,26
-1,-7,26
-1,-7,26
-1,-7,26
-2,-7,28
-2,-7,28
-2,-7,28
-2,-7,28
-4,-7,30
-4,-7,30
-4,-7,30
-5,-7,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-8,30
-5,-6,29
-5,-6,29
-5,-6,29
-5,-6,29
-5,-5,28
-5,-5,28
-5,-5,28
-5,-5,28
-3,-4,27
-3,-4,27
-3,-4,27
-3,-4,27
-2,-5,26
-2,-5,26
-2,-5,26
-2,-5,26
0,-6,27
0,-6,27
0,-6,27
0,-6,27
1,-7,29
1,-7,29
1,-7,29
3,-8,31
3,-8,31
3,-8,31
3,-8,31
6,-9,34
6,-9,34
6,-9,34
6,-9,34
9,-11,36
9,-11,36
9,-11,36
9,-11,36
10,-11,37
10,-11,37
10,-11,37
10,-11,37
10,-12,38
10,-12,38
10,-12,38
9,-12,39
9,-12,39
9,-12,39
9,-12,39
6,-11,40
6,-11,40
6,-11,40
6,-11,40
3,-10,41
3,-10,41
3,-10,41
3,-10,41
2,-8,42
2,-8,42
2,-8,42
2,-8,42
2,-6,43
2,-6,43
2,-6,43
2,-6,43
1,-4,43
1,-4,43
1,-4,43
1,-4,43
2,-2,42
2,-2,42
2,-2,42
2,-2,42
2,0,40
2,0,40
2,0,40
2,0,40
3,0,38
3,0,38
3,0,38
3,0,38
3,1,36
3,1,36
3,1,36
3,1,36
3,2,35
3,2,35
3,2,35
3,2,35
2,3,35
2,3,35
2,3,35
2,3,35
2,3,35
2,3,35
2,3,35
2,3,35
1,4,34
1,4,34
1,4,34
1,4,34
1,5,33
1,5,33
1,5,33
1,5,33
1,5,31
1,5,31
1,5,31
1,5,31
3,5,30
3,5,30
3,5,30
3,5,30
6,5,30
6,5,30
6,5,30
6,5,30
8,4,29
8,4,29
8,4,29
8,4,29
8,2,28
8,2,28
8,2,28
8,2,28
8,2,27
8,2,27
8,2,27
8,2,27
6,2,26
6,2,26
6,2,26
6,2,26
3,1,26
3,1,26
3,1,26
3,1,26
0,0,24
0,0,24
0,0,24
0,0,24
0,0,23
0,0,23
0,0,23
0,0,23
0,0,23
0,-1,23
0,-1,23
0,-1,23
1,-2,23
1,-2,23
1,-2,23
1,-2,23
3,-2,24
3,-2,24
3,-2,24
3,-2,24
4,-1,24
4,-1,24
4,-1,24
4,-1,24
5,-1,23
5,-1,23
5,-1,23
5,-1,23
5,-2,21
5,-2,21
5,-2,21
5,-2,21
7,-2,20
7,-2,20
7,-2,20
7,-2,20
8,-3,21
8,-3,21
8,-3,21
8,-3,21
10,-4,21
10,-4,21
10,-4,21
10,-4,21
10,-5,21
10,-5,21
10,-5,21
10,-5,21
10,-4,21
10,-4,21
10,-4,21
10,-3,19
10,-3,19
10,-3,19
10,-3,19
9,-3,16
9,-3,16
9,-3,16
9,-3,16
7,-3,13
7,-3,13
7,-3,13
7,-3,13
7,-2,11
7,-2,11
7,-2,11
7,-2,11
6,-2,9
6,-2,9
6,-2,9
6,-2,9
5,-2,8
5,-2,8
5,-2,8
5,-2,8
5,-1,5
5,-1,5
5,-1,5
5,-1,5
3,-1,2
3,-1,2
3,-1,2
3,-1,2
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
-2,-1,-5
-2,-1,-5
-2,-1,-5
-2,-1,-5
-5,0,-10
-5,0,-10
-5,0,-10
-5,0,-10
-7,1,-15
-7,1,-15
-7,1,-15
-8,2,-21
-8,2,-21
-8,2,-21
-8,2,-21
-6,2,-26
-6,2,-26
-6,2,-26
-6,2,-26
-2,0,-29
-2,0,-29
-2,0,-29
-2,0,-29
2,-2,-30
2,-2,-30
2,-2,-30
2,-2,-30
7,-4,-31
7,-4,-31
7,-4,-31
9,-6,-30
9,-6,-30
9,-6,-30
9,-6,-30
9,-6,-30
9,-6,-30
9,-6,-30
9,-6,-30
7,-6,-31
7,-6,-31
7,-6,-31
7,-6,-31
3,-5,-33
3,-5,-33
3,-5,-33
3,-5,-33
0,-3,-35
0,-3,-35
0,-3,-35
-2,-2,-38
-2,-2,-38
-2,-2,-38
-2,-2,-38
-2,-1,-41
-2,-1,-41
-2,-1,-41
-2,-1,-41
-1,-1,-44
-1,-1,-44
-1,-1,-44
0,0,-45
0,0,-45
0,0,-45
0,0,-45
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
1,0,-46
0,0,-46
0,0,-46
0,0,-46
0,0,-46
0,0,-47
0,0,-47
0,0,-47
0,0,-47
0,0,-48
0,0,-48
0,0,-48
0,0,-48
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
1,-1,-49
1,-1,-49
1,-1,-49
1,-1,-49
1,0,-49
1,0,-49
1,0,-49
0,0,-49
0,0,-49
0,0,-49
0,0,-49
-2,-1,-48
-2,-1,-48
-2,-1,-48
-2,-1,-48
-3,-2,-47
-3,-2,-47
-3,-2,-47
-3,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-4,-2,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-3,-1,-47
-2,-2,-47
-2,-2,-47
-2,-2,-47
-2,-2,-47
-2,-2,-46
-2,-2,-46
-2,-2,-46
-2,-2,-46
-3,-3,-44
-3,-3,-44
-3,-3,-44
-5,-3,-43
-5,-4,-43
-5,-4,-43
-5,-4,-43
-5,-5,-43
-5,-5,-43
-5,-5,-43
-5,-5,-43
-5,-6,-43
-5,-6,-43
-5,-6,-43
-5,-6,-44
-4,-6,-44
-4,-6,-44
-4,-6,-44
-4,-7,-44
-4,-7,-44
-4,-7,-44
-4,-7,-44
-4,-6,-44
-4,-6,-44
