x,y,z
-19,-24,14
-16,-16,12
-16,-16,12
-16,-16,12
-16,-16,12
-10,-10,11
-10,-10,11
-10,-10,11
-2,-8,8
-2,-8,8
-2,-8,8
-2,-8,8
5,-13,4
5,-13,4
5,-13,4
5,-13,4
14,-22,-3
14,-22,-3
14,-22,-3
14,-22,-3
19,-32,-13
19,-32,-13
19,-32,-13
23,-33,-22
23,-33,-22
23,-33,-22
23,-33,-22
27,-39,-28
27,-39,-28
27,-39,-28
27,-39,-28
29,-39,-30
29,-39,-30
29,-39,-30
26,-45,-31
26,-45,-31
26,-45,-31
26,-45,-31
15,-56,-28
1,-2,1
1,-2,1
1,-2,1
1,-2,1
1,-1,2
1,-1,2
1,-1,2
1,-1,2
0,-1,3
0,-1,3
0,-1,3
0,-1,3
-1,-1,4
-1,-1,4
-1,-1,4
-1,-1,4
-3,0,5
-3,0,5
-3,0,5
-3,0,5
-4,1,4
-4,1,4
-4,1,4
-4,1,4
-6,1,4
-6,1,4
-6,1,4
-6,1,4
-7,0,4
-7,0,4
-7,0,4
-7,0,4
-7,0,4
-7,0,4
-7,0,4
-7,0,4
-6,0,5
-6,0,5
-6,0,5
-6,0,5
-6,-1,5
-6,-1,5
-6,-1,5
-6,-1,5
-8,-5,6
-8,-5,6
-8,-5,6
-8,-5,6
-12,-6,7
-12,-6,7
-12,-6,7
-12,-6,7
-14,-4,8
-14,-4,8
-14,-4,8
-14,-4,8
-15,-2,9
-15,-2,9
-15,-2,9
-14,-2,10
-14,-2,10
-14,-2,10
-14,-2,10
-11,-1,10
-11,-1,10
-11,-1,10
-11,-1,10
-5,-1,10
-5,-1,10
-5,-1,10
-5,-1,10
0,-1,9
0,-1,9
0,-1,9
0,-1,9
2,-3,7
2,-3,7
2,-3,7
2,-3,7
2,-6,5
2,-6,5
2,-6,5
2,-6,5
0,-5,2
0,-5,2
0,-5,2
0,-5,2
-3,-5,1
-3,-5,1
-3,-5,1
-3,-5,1
-10,-4,1
-10,-4,1
-10,-4,1
-19,-4,2
-19,-4,2
-19,-4,2
-19,-4,2
-30,-6,4
-30,-6,4
-30,-6,4
-30,-6,4
-38,-6,4
-38,-6,4
-38,-6,4
-38,-6,4
-44,-3,5
-44,-3,5
